Latitude,Longitude
443324.56,4470195.49
443100.56,4470266.49
443054.56,4470255.49
442905.56,4470060.49
442585.56,4470059.50
442542.56,4469975.50
442737.56,4470245.50
442757.56,4470302.50
442789.56,4470256.50
442721.56,4470201.50
442825.56,4470159.50
442899.56,4470344.50
442901.56,4470341.50
442904.56,4470381.50
442972.56,4470492.50
442883.56,4470558.50
443022.56,4470738.50
443006.56,4470674.50
442976.56,4470633.50
442883.56,4470675.50
442805.56,4470520.50
444071.54,4469084.48
444190.54,4469349.48
443979.54,4469313.48
443970.54,4469279.48
444060.54,4469396.48
444002.55,4469541.48
444002.55,4469541.48
444034.55,4469676.48
442950.56,4470713.50
442897.56,4470632.50
443155.56,4470873.49
443169.56,4470876.49
443190.56,4470961.49
443172.56,4470944.49
443123.56,4470893.49
443107.56,4470878.49
443118.56,4470814.49
443087.56,4470825.49
443808.55,4469442.48
443802.54,4469299.48
443971.54,4469234.48
444086.55,4469623.48
443943.54,4469470.48
443905.54,4469464.48
443887.55,4469471.48
443976.55,4469690.48
443251.55,4469605.49
443047.55,4469391.49
443424.55,4469921.49
443180.55,4469939.49
443166.55,4469769.49
443225.57,4471089.49
443214.57,4471074.49
443120.57,4470973.49
443089.57,4470947.50
443149.57,4471040.49
443287.57,4471549.49
443346.57,4471527.49
443394.57,4471585.49
443387.56,4470724.49
443283.56,4470577.49
443242.56,4470487.49
443067.57,4471154.50
442982.57,4471337.50
443069.57,4471369.50
443120.57,4471536.50
443099.57,4471465.50
443129.57,4471690.50
443151.57,4471683.49
443133.57,4471585.50
443103.57,4471699.50
0.00,0.00
443215.57,4471831.49
443132.57,4471801.50
443267.57,4472060.49
443302.57,4472052.49
443280.57,4471984.49
443140.57,4471965.50
443197.57,4472059.49
443252.57,4472112.49
443259.57,4471931.49
443442.57,4471985.49
443330.57,4471998.49
443451.57,4471915.49
443476.57,4471897.49
443477.57,4471915.49
443347.57,4471879.49
443424.57,4471844.49
443323.57,4471928.49
443344.57,4471920.49
443353.57,4471916.49
443475.57,4471874.49
443339.57,4472001.49
443362.57,4472021.49
443333.57,4471947.49
443324.57,4471974.49
443347.57,4472010.49
443382.57,4471917.49
443269.57,4471906.49
443218.57,4471810.49
443307.57,4471800.49
443300.57,4471809.49
443433.57,4471709.49
443427.57,4471724.49
443231.57,4471788.49
443180.57,4471687.49
443286.57,4471714.49
443306.57,4471184.49
443253.57,4471121.49
443223.57,4471253.49
443316.57,4471262.49
443335.56,4471135.49
443316.56,4471115.49
443209.57,4471000.49
443323.56,4471103.49
443320.56,4471040.49
443381.56,4471143.49
443344.56,4471069.49
443263.56,4470967.49
443439.56,4471337.49
443472.56,4471379.49
443463.56,4471359.49
443498.56,4471462.49
443400.56,4471189.49
443382.56,4471273.49
443366.56,4471239.49
443512.56,4471189.49
443316.57,4471418.49
443468.57,4471575.49
443424.56,4471414.49
443345.57,4471484.49
443574.56,4471632.49
443489.57,4471623.49
443655.56,4471590.49
443644.56,4471552.49
443553.57,4471924.49
443582.57,4471905.49
443587.57,4471901.49
443520.57,4471861.49
443510.57,4471840.49
443459.57,4471811.49
443525.57,4471798.49
443566.57,4471843.49
443516.57,4471874.49
443666.56,4471846.49
443688.56,4471830.49
443632.56,4471846.49
443619.56,4471825.49
443733.56,4471792.49
443504.56,4471498.49
443617.56,4471464.49
443391.56,4471041.49
443538.56,4470864.49
443542.56,4470871.49
443514.56,4470880.49
443469.56,4470870.49
443469.56,4470870.49
443380.56,4470804.49
443350.56,4470868.49
443282.56,4470919.49
443333.56,4471015.49
443505.56,4470871.49
443281.56,4470860.49
443220.56,4470779.49
443157.56,4470760.49
443159.56,4470762.49
443253.56,4470730.49
443161.56,4470638.49
443098.56,4470774.49
443329.56,4470752.49
443334.56,4470758.49
443323.56,4470840.49
443226.56,4470669.49
443308.56,4470857.49
443250.56,4470552.49
444372.56,4470865.48
444364.56,4470842.48
444317.56,4470882.48
444317.56,4470882.48
444324.55,4470542.48
443673.55,4470038.48
443687.55,4470038.48
444699.55,4470231.47
444688.55,4470077.47
443393.56,4470651.49
443293.56,4470511.49
443277.56,4470488.49
443382.56,4470688.49
443465.56,4470678.49
443466.56,4470407.49
443408.56,4470327.49
443495.56,4470446.49
443469.56,4470590.49
443777.56,4471319.49
443692.56,4471195.49
443686.56,4471170.49
443677.56,4471223.49
443787.56,4471496.49
443777.56,4471478.49
443689.56,4471575.49
443723.56,4471558.49
443395.56,4470695.49
443403.56,4470641.49
443399.56,4470520.49
443294.56,4470404.49
443386.56,4470426.49
443515.56,4470572.49
443419.56,4470523.49
443436.56,4470510.49
443523.56,4470607.49
443676.56,4470659.49
443915.56,4470989.48
443908.56,4471144.48
443802.56,4471353.49
443672.56,4471221.49
443739.56,4471521.49
443650.56,4471512.49
443698.56,4471534.49
443793.56,4471758.49
444921.55,4470308.47
445227.54,4470344.46
445264.54,4470418.46
445107.55,4470683.47
445638.54,4470564.46
445536.54,4470485.46
445555.54,4470631.46
445557.55,4471308.46
445505.55,4471338.46
445540.55,4471347.46
445501.55,4471333.46
445499.55,4471309.46
445654.55,4471203.46
445670.55,4471186.46
445543.55,4471189.46
445573.55,4471166.46
445470.55,4471204.46
445705.55,4471109.46
445699.55,4471117.46
445694.55,4471107.46
445649.55,4471088.46
445501.55,4471116.46
445445.55,4471399.46
445400.55,4471318.46
445400.55,4471318.46
445534.55,4471607.46
443807.56,4471749.49
443841.56,4471725.49
443717.56,4471670.49
443957.56,4471620.48
444052.56,4471577.48
444060.56,4471252.48
444108.56,4471249.48
